dir,nelect,vbm,cbm,gap,direct
Ag2Ca1Ge1S4_kesterite,140,2.634172,5.024078,2.389906,False
Ag2Ca1Ge1Se1Te3_kesterite,560,3.990990,5.037993,1.047003,True
Ag2Ca1Ge1Se1Te3_stannite,560,4.106779,5.359750,1.252971,True
Ag2Ca1Ge1Se3Te1_stannite,560,3.204104,4.653325,1.449221,True
Ag2Ca1Ge1Se4_kesterite,140,2.594443,3.705783,1.111340,False
Ag2Ca1Ge1Te4_kesterite,140,3.862285,4.501421,0.639136,True
Ag2Ca1Ge1Te4_stannite,140,3.811928,5.199921,1.387993,True
Ag2Ca1Sn0.5Ge0.5S4_kesterite,560,2.702708,4.940537,2.237829,True
Ag2Ca1Sn0.5Ge0.5S4_stannite,560,2.859469,5.134038,2.274569,True
Ag2Ca1Sn0.5Ge0.5Se4_kesterite,560,2.321934,3.855262,1.533328,False
Ag2Ca1Sn0.5Ge0.5Se4_stannite,560,2.619008,4.031869,1.412861,True
Ag2Ca1Sn0.5Ge0.5Te4_kesterite,560,4.159107,5.228728,1.069621,True
Ag2Ca1Sn0.5Ge0.5Te4_stannite,560,4.277078,5.580496,1.303418,True
Ag2Ca1Sn0.5Zr0.5S4_kesterite,552,3.363825,5.561581,2.197756,False
Ag2Ca1Sn0.5Zr0.5S4_stannite,552,3.407854,5.536042,2.128188,False
Ag2Ca1Sn0.5Zr0.5Se4_kesterite,552,2.833550,4.645959,1.812409,False
Ag2Ca1Sn0.5Zr0.5Se4_stannite,552,2.955912,4.613780,1.657868,False
Ag2Ca1Sn0.5Zr0.5Te4_kesterite,552,4.042567,5.306972,1.264405,False
Ag2Ca1Sn0.5Zr0.5Te4_stannite,552,4.842521,6.235953,1.393432,False
Ag2Ca1Sn1S1Se1Te2_kesterite,560,3.480759,4.300389,0.819630,True
Ag2Ca1Sn1S1Se1Te2_stannite,560,3.370075,4.543104,1.173029,True
Ag2Ca1Sn1S1Se2Te1_kesterite,560,3.096779,4.131628,1.034849,True
Ag2Ca1Sn1S1Se2Te1_stannite,560,4.248993,5.271302,1.022309,True
Ag2Ca1Sn1S1Se3_kesterite,560,2.517108,3.873883,1.356775,False
Ag2Ca1Sn1S1Se3_stannite,560,2.663336,4.115457,1.452121,True
Ag2Ca1Sn1S1Te3_stannite,560,3.788917,4.979552,1.190635,True
Ag2Ca1Sn1S2Se1Te1_kesterite,560,3.701030,4.472699,0.771669,True
Ag2Ca1Sn1S2Se1Te1_stannite,560,3.803803,5.068932,1.265129,True
Ag2Ca1Sn1S2Se2_kesterite,560,2.618713,4.252373,1.633660,True
Ag2Ca1Sn1S2Te2_kesterite,560,3.277022,4.581316,1.304294,True
Ag2Ca1Sn1S2Te2_stannite,560,4.121213,5.469523,1.348310,True
Ag2Ca1Sn1S3Se1_kesterite,560,2.614121,4.486738,1.872617,True
Ag2Ca1Sn1S3Se1_stannite,560,2.787922,4.738422,1.950500,True
Ag2Ca1Sn1S3Te1_stannite,560,4.092520,5.361386,1.268866,True
Ag2Ca1Sn1S4_kesterite,140,3.282716,4.865258,1.582542,True
Ag2Ca1Sn1Se1Te3_kesterite,560,3.648346,4.658887,1.010541,True
Ag2Ca1Sn1Se2Te2_kesterite,560,3.000457,4.070270,1.069813,True
Ag2Ca1Sn1Se3Te1_kesterite,560,2.719196,3.812391,1.093195,True
Ag2Ca1Sn1Se4_kesterite,140,2.441560,3.604821,1.163261,True
Ag2Ca1Sn1Se4_stannite,140,2.454150,3.950868,1.496718,True
Ag2Ca1Sn1Te4_kesterite,140,3.964583,4.817837,0.853254,True
Ag2Ca1Sn1Te4_stannite,140,4.074636,5.430109,1.355473,True
Ag2Ca1Zr1S1Se1Te2_stannite,544,3.123266,4.937007,1.813741,True
Ag2Ca1Zr1S1Se2Te1_kesterite,544,3.004011,4.595323,1.591312,True
Ag2Ca1Zr1S1Se2Te1_stannite,544,2.947541,4.869561,1.922020,True
Ag2Ca1Zr1S1Se3_kesterite,544,2.294472,4.519168,2.224696,False
Ag2Ca1Zr1S1Se3_stannite,544,3.087083,5.202545,2.115462,True
Ag2Ca1Zr1S1Te3_kesterite,544,3.350674,4.922607,1.571933,True
Ag2Ca1Zr1S1Te3_stannite,544,3.448178,5.172412,1.724234,True
Ag2Ca1Zr1S2Se1Te1_kesterite,544,3.268860,4.923077,1.654217,True
Ag2Ca1Zr1S2Se2_kesterite,544,3.135311,5.253801,2.118490,False
Ag2Ca1Zr1S2Se2_stannite,544,2.799359,5.077530,2.278171,True
Ag2Ca1Zr1S2Te2_kesterite,544,3.381109,5.139756,1.758647,False
Ag2Ca1Zr1S3Se1_stannite,544,3.171130,5.659957,2.488827,True
Ag2Ca1Zr1S3Te1_kesterite,544,3.597448,5.138780,1.541332,True
Ag2Ca1Zr1S4_kesterite,544,3.338906,5.676976,2.338070,False
Ag2Ca1Zr1S4_stannite,544,3.395021,5.870705,2.475684,True
Ag2Ca1Zr1Se1Te3_stannite,544,3.143173,4.797925,1.654752,True
Ag2Ca1Zr1Se2Te2_kesterite,544,3.837010,5.514520,1.677510,False
Ag2Ca1Zr1Se3Te1_kesterite,544,3.526468,5.135925,1.609457,True
Ag2Ca1Zr1Se3Te1_stannite,544,2.769943,4.698019,1.928076,True
Ag2Ca1Zr1Se4_kesterite,544,2.826355,4.855510,2.029155,False
Ag2Ca1Zr1Se4_stannite,544,2.910525,4.982614,2.072089,True
Ag2Ca1Zr1Te4_kesterite,544,4.491043,6.071028,1.579985,False
Ag2Ca1Zr1Te4_stannite,544,3.924312,5.351080,1.426768,True
Ag2Cd1Ge0.5Zr0.5S4_kesterite,568,3.284959,5.125804,1.840845,True
Ag2Cd1Ge0.5Zr0.5S4_stannite,568,3.256584,5.043678,1.787094,False
Ag2Cd1Ge0.5Zr0.5Se4_kesterite,568,2.580368,4.005248,1.424880,True
Ag2Cd1Ge0.5Zr0.5Se4_stannite,568,2.636227,3.955013,1.318786,False
Ag2Cd1Ge0.5Zr0.5Te4_stannite,568,4.555604,5.345544,0.789940,False
Ag2Cd1Ge1S1Se1Te2_kesterite,576,3.515647,4.292658,0.777011,True
Ag2Cd1Ge1S1Se1Te2_stannite,576,4.246015,4.697629,0.451614,True
Ag2Cd1Ge1S1Se2Te1_kesterite,576,3.062690,4.022210,0.959520,True
Ag2Cd1Ge1S1Se2Te1_stannite,576,3.597035,3.888858,0.291823,True
Ag2Cd1Ge1S1Se3_kesterite,576,2.806192,3.960845,1.154653,True
Ag2Cd1Ge1S1Se3_stannite,576,2.821820,3.811487,0.989667,True
Ag2Cd1Ge1S1Te3_kesterite,576,3.766786,4.602544,0.835758,True
Ag2Cd1Ge1S1Te3_stannite,576,4.789920,5.236195,0.446275,True
Ag2Cd1Ge1S2Se1Te1_kesterite,576,3.576552,4.350374,0.773822,True
Ag2Cd1Ge1S2Se1Te1_stannite,576,3.892197,4.215642,0.323445,True
Ag2Cd1Ge1S2Se2_kesterite,576,2.931715,4.259234,1.327519,True
Ag2Cd1Ge1S2Se2_stannite,576,2.955135,4.107901,1.152766,True
Ag2Cd1Ge1S2Te2_kesterite,576,3.825164,4.745960,0.920796,True
Ag2Cd1Ge1S2Te2_stannite,576,4.231607,4.907941,0.676334,True
Ag2Cd1Ge1S3Se1_kesterite,576,3.247246,4.567140,1.319894,True
Ag2Cd1Ge1S3Se1_stannite,576,3.517627,4.463850,0.946223,True
Ag2Cd1Ge1S3Te1_kesterite,576,3.674344,4.744595,1.070251,True
Ag2Cd1Ge1S3Te1_stannite,576,4.433502,4.832087,0.398585,True
Ag2Cd1Ge1S4_kesterite,144,2.852913,4.831054,1.978141,True
Ag2Cd1Ge1S4_stannite,144,3.621957,4.784403,1.162446,True
Ag2Cd1Ge1Se1Te3_stannite,576,4.545831,5.014746,0.468915,True
