compound,defect,cdir,nelect,F,conv,lat_match
Ag1Al1Se2_kesterite,V_Se,Charged-1,1867,-.12412315E+04,1,0
Ag1Al1Se2_kesterite,V_Se,Charged-2,1868,-.12365473E+04,1,0
Ag1Al1Se2_kesterite,V_Se,Neutral,1866.0000,-.12458697E+04,1,0
Ag1Al1Se2_stannite,Ag_Se,Charged+1,1876,-.12427794E+04,1,0
Ag1Al1Se2_stannite,Ag_Se,Charged+2,1875,-.12466497E+04,1,0
Ag1Al1Se2_stannite,Ag_Se,Charged-1,1878,-.12336206E+04,1,0
Ag1Al1Se2_stannite,Ag_Se,Charged-2,1879,-.12290014E+04,1,0
Ag1Al1Se2_stannite,Ag_Se,Neutral,1877.0000,-.12381984E+04,1,0
Ag1Al1Se2_stannite,Al_Ag,Charged+1,1863,-.12470808E+04,1,0
Ag1Al1Se2_stannite,Al_Ag,Charged+2,1862,-.12515365E+04,1,0
Ag1Al1Se2_stannite,Al_Ag,Charged-1,1865,-.12372597E+04,1,0
Ag1Al1Se2_stannite,Al_Ag,Charged-2,1866,-.12328861E+04,1,0
Ag1Al1Se2_stannite,Al_Ag,Neutral,1864.0000,-.12425653E+04,1,0
Ag1Al1Se2_stannite,Al_Se,Charged+1,1868,-.12433093E+04,1,0
Ag1Al1Se2_stannite,Al_Se,Charged+2,1867,-.12472103E+04,1,0
Ag1Al1Se2_stannite,Al_Se,Charged-1,1870,-.12351116E+04,1,0
Ag1Al1Se2_stannite,Al_Se,Charged-2,1871,-.12305261E+04,1,0
Ag1Al1Se2_stannite,Al_Se,Neutral,1869.0000,-.12392791E+04,1,0
Ag1Al1Te2_kesterite,Ag_Al,Charged+1,1868,-.11223768E+04,1,0
Ag1Al1Te2_kesterite,Ag_Al,Charged+2,1867,-.11269765E+04,1,0
Ag1Al1Te2_kesterite,Ag_Al,Charged-1,1870,-.11130140E+04,1,0
Ag1Al1Te2_kesterite,Ag_Al,Charged-2,1871,-.11082289E+04,1,0
Ag1Al1Te2_kesterite,Ag_Al,Neutral,1869.0000,-.11177242E+04,1,0
Ag1Al1Te2_kesterite,Al_i,Charged+1,1874,-.11321485E+04,1,0
Ag1Al1Te2_kesterite,Al_i,Charged+2,1873,-.11369632E+04,1,0
Ag1Al1Te2_kesterite,Al_i,Charged-1,1876,-.11204627E+04,1,0
Ag1Al1Te2_kesterite,Al_i,Charged-2,1877,-.11144814E+04,1,0
Ag1Al1Te2_kesterite,Al_i,Neutral,1875.0000,-.11263405E+04,1,0
Ag1Al1Te2_kesterite,Te_Ag,Charged+1,1860,-.11252851E+04,1,0
Ag1Al1Te2_kesterite,Te_Ag,Charged+2,1859,-.11297935E+04,1,0
Ag1Al1Te2_kesterite,Te_Ag,Charged-1,1862,-.11160653E+04,1,0
Ag1Al1Te2_kesterite,Te_Ag,Charged-2,1863,-.11103274E+04,1,0
Ag1Al1Te2_kesterite,Te_Ag,Neutral,1861.0000,-.11207047E+04,1,0
Ag1Al1Te2_stannite,V_Ag,Charged+1,1860,-.11181092E+04,1,0
Ag1Al1Te2_stannite,V_Ag,Charged+2,1859,-.11229291E+04,1,0
Ag1Al1Te2_stannite,V_Ag,Charged-1,1862,-.11083613E+04,1,0
Ag1Al1Te2_stannite,V_Ag,Charged-2,1863,-.11029455E+04,1,0
Ag1Al1Te2_stannite,V_Ag,Neutral,1861.0000,-.11132601E+04,1,0
