compound,structure,eform_ev_atom,edecomp_ev_fu,gap_prescreen_ev,theory
Ag2Ca0.5Sr0.5Zr1Te4,stannite,-0.4131,2.856,0.655,PBEsol
Ag2Ca0.5Zn0.5Ge1S4,kesterite,-0.5149,-0.0088,1.153,PBEsol
Ag2Ca0.5Zn0.5Ge1S4,stannite,-0.4919,0.1755,0.682,PBEsol
Ag2Ca0.5Zn0.5Ge1Se4,kesterite,-0.4318,0.3374,0.53,PBEsol
Ag2Ca0.5Zn0.5Ge1Se4,stannite,-0.4115,0.4998,0.145,PBEsol
Ag2Ca0.5Zn0.5Ge1Te4,kesterite,-0.1791,,0.462,PBEsol
Ag2Ca0.5Zn0.5Ge1Te4,stannite,-0.1723,,0.077,PBEsol
Ag2Ca0.5Zn0.5Sn1S4,kesterite,-0.5199,0.2274,0.772,PBEsol
Ag2Ca0.5Zn0.5Sn1S4,stannite,-0.4986,0.3973,0.512,PBEsol
Ag2Ca0.5Zn0.5Sn1Se4,kesterite,-0.4536,0.5398,0.362,PBEsol
Ag2Ca0.5Zn0.5Sn1Se4,stannite,-0.4379,0.6658,0.091,PBEsol
Ag2Ca0.5Zn0.5Sn1Te4,kesterite,-0.179,,0.522,PBEsol
Ag2Ca0.5Zn0.5Sn1Te4,stannite,-0.1704,,0.216,PBEsol
Ag2Ca0.5Zn0.5Zr1S4,kesterite,-0.8592,0.9322,1.517,PBEsol
Ag2Ca0.5Zn0.5Zr1S4,stannite,-0.8495,1.0096,1.231,PBEsol
Ag2Ca0.5Zn0.5Zr1Se4,kesterite,-0.7173,1.3862,1.187,PBEsol
Ag2Ca0.5Zn0.5Zr1Se4,stannite,-0.7101,1.4438,0.898,PBEsol
Ag2Ca0.5Zn0.5Zr1Te4,kesterite,-0.3328,2.1564,0.663,PBEsol
Ag2Ca0.5Zn0.5Zr1Te4,stannite,-0.3327,2.1571,0.509,PBEsol
Ag2Ca1Ge0.5Zr0.5S4,kesterite,-0.8309,0.698,1.511,PBEsol
Ag2Ca1Ge0.5Zr0.5S4,stannite,-0.8503,0.5429,1.514,PBEsol
Ag2Ca1Ge0.5Zr0.5Se4,kesterite,-0.7145,1.117,1.024,PBEsol
Ag2Ca1Ge0.5Zr0.5Se4,stannite,-0.7288,1.0026,1.016,PBEsol
Ag2Ca1Ge0.5Zr0.5Te4,kesterite,-0.42,,0.532,PBEsol
Ag2Ca1Ge0.5Zr0.5Te4,stannite,-0.3966,,0.831,PBEsol
Ag2Ca1Ge1S1Se1Te2,kesterite,-0.4783,,0.429,PBEsol
Ag2Ca1Ge1S1Se1Te2,stannite,-0.4823,,0.697,PBEsol
Ag2Ca1Ge1S1Se3,kesterite,-0.5856,0.5385,0.924,PBEsol
Ag2Ca1Ge1S1Se3,stannite,-0.6322,0.1659,0.777,PBEsol
Ag2Ca1Ge1S1Te3,kesterite,-0.3871,,0.519,PBEsol
Ag2Ca1Ge1S1Te3,stannite,-0.412,,0.621,PBEsol
Ag2Ca1Ge1S2Se1Te1,kesterite,-0.5321,,0.463,PBEsol
Ag2Ca1Ge1S2Se1Te1,stannite,-0.6173,,0.72,PBEsol
Ag2Ca1Ge1S2Se2,kesterite,-0.6072,0.4389,1.097,PBEsol
Ag2Ca1Ge1S2Se2,stannite,-0.6677,-0.0452,1.051,PBEsol
Ag2Ca1Ge1S2Te2,stannite,-0.5604,,0.778,PBEsol
Ag2Ca1Ge1S3Te1,kesterite,-0.5526,,0.447,PBEsol
Ag2Ca1Ge1S4,kesterite,-0.6372,0.4179,1.161,PBEsol
Ag2Ca1Ge1S4,stannite,-0.6873,0.0169,1.478,PBEsol
Ag2Ca1Ge1Se1Te3,kesterite,-0.346,,0.597,PBEsol
Ag2Ca1Ge1Se1Te3,stannite,-0.3854,,0.682,PBEsol
Ag2Ca1Ge1Se3Te1,stannite,-0.5564,,0.692,PBEsol
Ag2Ca1Ge1Se4,kesterite,-0.5624,0.6854,0.786,PBEsol
Ag2Ca1Ge1Se4,stannite,-0.5973,0.4059,0.836,PBEsol
Ag2Ca1Ge1Te4,kesterite,-0.2983,,0.371,PBEsol
Ag2Ca1Ge1Te4,stannite,-0.3536,,0.637,PBEsol
Ag2Ca1Sn0.5Ge0.5S4,kesterite,-0.6583,0.3692,1.183,PBEsol
Ag2Ca1Sn0.5Ge0.5S4,stannite,-0.6799,0.1962,1.216,PBEsol
Ag2Ca1Sn0.5Ge0.5Se4,kesterite,-0.5783,0.7283,0.75,PBEsol
Ag2Ca1Sn0.5Ge0.5Se4,stannite,-0.5972,0.5771,0.694,PBEsol
Ag2Ca1Sn0.5Ge0.5Te4,kesterite,-0.3025,,0.639,PBEsol
Ag2Ca1Sn0.5Ge0.5Te4,stannite,-0.3248,,0.753,PBEsol
Ag2Ca1Sn0.5Zr0.5S4,kesterite,-0.8241,0.8905,1.458,PBEsol
Ag2Ca1Sn0.5Zr0.5S4,stannite,-0.8345,0.807,1.242,PBEsol
Ag2Ca1Sn0.5Zr0.5Se4,kesterite,-0.7051,1.3802,1.111,PBEsol
Ag2Ca1Sn0.5Zr0.5Se4,stannite,-0.7138,1.3108,0.874,PBEsol
Ag2Ca1Sn0.5Zr0.5Te4,kesterite,-0.412,,0.865,PBEsol
Ag2Ca1Sn0.5Zr0.5Te4,stannite,-0.3306,,0.777,PBEsol
Ag2Ca1Sn1S1Se1Te2,kesterite,-0.4874,,0.311,PBEsol
Ag2Ca1Sn1S1Se1Te2,stannite,-0.5052,,0.605,PBEsol
Ag2Ca1Sn1S1Se2Te1,kesterite,-0.5506,,0.269,PBEsol
Ag2Ca1Sn1S1Se2Te1,stannite,-0.5292,,0.511,PBEsol
Ag2Ca1Sn1S1Se3,kesterite,-0.6145,0.6593,0.705,PBEsol
Ag2Ca1Sn1S1Se3,stannite,-0.6331,0.5105,0.73,PBEsol
Ag2Ca1Sn1S1Te3,stannite,-0.4646,,0.658,PBEsol
Ag2Ca1Sn1S2Se1Te1,kesterite,-0.5575,,0.375,PBEsol
Ag2Ca1Sn1S2Se1Te1,stannite,-0.6365,,0.629,PBEsol
Ag2Ca1Sn1S2Se2,kesterite,-0.6269,0.6074,0.888,PBEsol
Ag2Ca1Sn1S2Te2,kesterite,-0.4908,,0.601,PBEsol
Ag2Ca1Sn1S2Te2,stannite,-0.6007,,0.801,PBEsol
Ag2Ca1Sn1S3Se1,kesterite,-0.6437,0.5406,0.895,PBEsol
Ag2Ca1Sn1S3Se1,stannite,-0.6637,0.3805,0.924,PBEsol
Ag2Ca1Sn1S3Te1,stannite,-0.6314,,0.594,PBEsol
Ag2Ca1Sn1S4,kesterite,-0.6615,0.4994,1.066,PBEsol
Ag2Ca1Sn1S4,stannite,-0.6787,0.3618,1.088,PBEsol
Ag2Ca1Sn1Se1Te3,kesterite,-0.412,,0.452,PBEsol
Ag2Ca1Sn1Se2Te2,kesterite,-0.4753,,0.518,PBEsol
Ag2Ca1Sn1Se3Te1,kesterite,-0.5387,,0.336,PBEsol
Ag2Ca1Sn1Se4,kesterite,-0.6006,0.7561,0.654,PBEsol
Ag2Ca1Sn1Se4,stannite,-0.617,0.6244,0.537,PBEsol
Ag2Ca1Sn1Te4,kesterite,-0.3345,,0.227,PBEsol
Ag2Ca1Sn1Te4,stannite,-0.3732,,0.737,PBEsol
Ag2Ca1Zr1S1Se1Te2,kesterite,-0.7232,1.6092,0.724,PBEsol
Ag2Ca1Zr1S1Se1Te2,stannite,-0.7351,1.5144,1.117,PBEsol
Ag2Ca1Zr1S1Se2Te1,kesterite,-0.8135,1.4941,0.932,PBEsol
Ag2Ca1Zr1S1Se2Te1,stannite,-0.8285,1.3741,1.2,PBEsol
Ag2Ca1Zr1S1Se3,kesterite,-0.9059,1.3994,1.45,PBEsol
Ag2Ca1Zr1S1Se3,stannite,-0.895,1.4867,1.35,PBEsol
Ag2Ca1Zr1S1Te3,kesterite,-0.6386,1.7154,0.926,PBEsol
Ag2Ca1Zr1S1Te3,stannite,-0.6626,1.5234,1.144,PBEsol
Ag2Ca1Zr1S2Se1Te1,kesterite,-0.8443,1.4214,1.006,PBEsol
Ag2Ca1Zr1S2Se2,kesterite,-0.9235,1.4221,1.547,PBEsol
Ag2Ca1Zr1S2Se2,stannite,-0.9579,1.1472,1.565,PBEsol
Ag2Ca1Zr1S2Te2,kesterite,-0.7527,1.5738,1.187,PBEsol
Ag2Ca1Zr1S3Se1,stannite,-0.9727,1.2119,1.49,PBEsol
Ag2Ca1Zr1S3Te1,kesterite,-0.8767,1.3723,0.876,PBEsol
Ag2Ca1Zr1S4,kesterite,-1.0,1.2102,1.767,PBEsol
Ag2Ca1Zr1S4,stannite,-1.0098,1.132,1.642,PBEsol
Ag2Ca1Zr1Se1Te3,stannite,-0.6227,1.6687,1.044,PBEsol
Ag2Ca1Zr1Se2Te2,kesterite,-0.6347,2.1707,1.138,PBEsol
Ag2Ca1Zr1Se3Te1,kesterite,-0.7409,1.9384,0.963,PBEsol
Ag2Ca1Zr1Se3Te1,stannite,-0.7983,1.4798,1.25,PBEsol
